Date,4/25/2011,
Time,10:41:22,
Y_Unit_Label,Acceleration (g),
X_Dimension,Time (s),
X0,40:59.2,
Delta_X,0.0005,
***End_of_Header***,,
X_Value,Acceleration - Dev1_ai0,Comment
0.4055,-0.023982,
0.406,-0.015054,
0.4065,-0.003467,
0.407,0.006358,
0.4075,0.015954,
0.408,0.026179,
0.4085,0.036155,
0.409,0.047958,
0.4095,0.057285,
0.41,0.067942,
0.4105,0.079104,
0.411,0.088988,
0.4115,0.098682,
0.412,0.108953,
0.4125,0.118588,
0.413,0.128832,
0.4135,0.139909,
0.414,0.149472,
0.4145,0.159009,
0.415,0.169856,
0.4155,0.179007,
0.416,0.188825,
0.4165,0.196823,
0.417,0.205816,
0.4175,0.216565,
0.418,0.225061,
0.4185,0.234774,
0.419,0.243591,
0.4195,0.252257,
0.42,0.26199,
0.4205,0.26966,
0.421,0.278687,
0.4215,0.287333,
0.422,0.294551,
0.4225,0.304186,
0.423,0.312538,
0.4235,0.320326,
0.424,0.329457,
0.4245,0.336203,
0.425,0.344705,
0.4255,0.351413,
0.426,0.358376,
0.4265,0.367146,
0.427,0.375216,
0.4275,0.383397,
0.428,0.391657,
0.4285,0.398246,
0.429,0.404122,
0.4295,0.4102,
0.43,0.417157,
0.4305,0.422587,
0.431,0.429405,
0.4315,0.435386,
0.432,0.43887,
0.4325,0.444693,
0.433,0.449187,
0.4335,0.452737,
0.434,0.45913,
0.4345,0.463473,
0.435,0.468942,
0.4355,0.474555,
0.436,0.478276,
0.4365,0.482422,
0.437,0.486378,
0.4375,0.491763,
0.438,0.493859,
0.4385,0.498195,
0.439,0.5009,
0.4395,0.504182,
0.44,0.505819,
0.4405,0.509166,
0.441,0.511302,
0.4415,0.515638,
0.442,0.515762,
0.4425,0.517334,
0.443,0.518592,
0.4435,0.520799,
0.444,0.523433,
0.4445,0.525168,
0.445,0.525817,
0.4455,0.525784,
0.446,0.52397,
0.4465,0.525522,
0.447,0.525326,
0.4475,0.524887,
0.448,0.524238,
0.4485,0.524271,
0.449,0.523328,
0.4495,0.522751,
0.45,0.520688,
0.4505,0.518487,
0.451,0.518428,
0.4515,0.516339,
0.452,0.515304,
0.4525,0.513647,
0.453,0.511688,
0.4535,0.510005,
0.454,0.507241,
0.4545,0.504169,
0.455,0.501987,
0.4555,0.498961,
0.456,0.49547,
0.4565,0.492116,
0.457,0.487983,
0.4575,0.482776,
0.458,0.479108,
0.4585,0.474464,
0.459,0.469525,
0.4595,0.464717,
0.46,0.460577,
0.4605,0.456012,
0.461,0.452436,
0.4615,0.445211,
0.462,0.440017,
0.4625,0.435065,
0.463,0.4282,
0.4635,0.421879,
0.464,0.415676,
0.4645,0.407672,
0.465,0.401639,
0.4655,0.395404,
0.466,0.388775,
0.4665,0.381203,
0.467,0.374011,
0.4675,0.366262,
0.468,0.360629,
0.4685,0.353587,
0.469,0.344208,
0.4695,0.335909,
0.47,0.329037,
0.4705,0.321695,
0.471,0.312112,
0.4715,0.305444,
0.472,0.297014,
